"code","Name","Weight","Type"
"2324","仁寶","4.11","股票"
"2301","光寶科","3.87","股票"
"2356","英業達","3.85","股票"
"2883","開發金","3.79","股票"
"3231","緯創","3.75","股票"
"2890","永豐金","3.63","股票"
"2886","兆豐金","3.57","股票"
"1101","台泥","3.44","股票"
"2354","鴻準","3.41","股票"
"2474","可成","3.32","股票"
"1303","南亞","3.31","股票"
"2892","第一金","3.29","股票"
"2327","國巨","3.28","股票"
"3045","台灣大","3.27","股票"
"2912","統一超商","3.24","股票"
"4904","遠傳","3.24","股票"
"1402","遠東新","3.19","股票"
"2347","聯強","3.19","股票"
"2357","華碩","3.19","股票"
"202109TX","台股期貨","3.16","期貨"
"5347","世界先進","3.14","股票"
"2891","中信金","3.1","股票"
"2881","富邦金","3.07","股票"
"2882","國泰金","3","股票"
"2382","廣達","2.96","股票"
"1216","統一","2.91","股票"
"2412","中華電","2.74","股票"
"8299","群聯","2.73","股票"
"2408","南亞科","2.69","股票"
"2409","友達","2.44","股票"
"2377","微星","2.12","股票"
