"code","Name","Weight","Type"
"2330","台積電","29.3","股票"
"2454","聯發科","12.37","股票"
"2317","鴻海","12.19","股票"
"2303","聯電","6.15","股票"
"6415","矽力-KY","3.48","股票"
"2379","瑞昱","3.06","股票"
"3008","大立光","2.55","股票"
"3034","聯詠","2.47","股票"
"3045","台灣大","2.36","股票"
"2382","廣達","2.29","股票"
"202109TX","台股期貨","2.14","期貨"
"3037","欣興","2.03","股票"
"2345","智邦","1.86","股票"
"4938","和碩","1.6","股票"
"4904","遠傳","1.57","股票"
"5347","世界先進","1.49","股票"
"3105","穩懋","1.43","股票"
"5483","中美晶","1.14","股票"
"2324","仁寶","1.08","股票"
"8046","南電","0.98","股票"
"6239","力成","0.93","股票"
"2356","英業達","0.88","股票"
"3231","緯創","0.88","股票"
"2383","台光電","0.84","股票"
"3702","大聯大","0.84","股票"
"2360","致茂","0.83","股票"
"2492","華新科","0.75","股票"
"4958","臻鼎-KY","0.73","股票"
"3044","健鼎","0.67","股票"
"2352","佳世達","0.56","股票"
"3023","信邦","0.54","股票"
