"code","Name","Weight","Type"
"2603","長榮","7.33","股票"
"2409","友達","4.49","股票"
"3481","群創","3.8","股票"
"3231","緯創","3.79","股票"
"2324","仁寶","3.71","股票"
"2542","興富發","3.69","股票"
"3702","大聯大","3.69","股票"
"2385","群光","3.56","股票"
"2915","潤泰全","3.33","股票"
"2108","南帝","3.23","股票"
"1101","台泥","3.19","股票"
"202109TX","臺股期貨","3.18","期貨"
"2357","華碩","3.14","股票"
"2301","光寶科","3.13","股票"
"2441","超豐","3.09","股票"
"2356","英業達","3.07","股票"
"1434","福懋","3.06","股票"
"2382","廣達","2.96","股票"
"4938","和碩","2.94","股票"
"2883","開發金","2.89","股票"
"1102","亞泥","2.85","股票"
"2449","京元電子","2.84","股票"
"2458","義隆","2.76","股票"
"3044","健鼎","2.69","股票"
"5522","遠雄","2.68","股票"
"6176","瑞儀","2.67","股票"
"2377","微星","2.56","股票"
"2809","京城銀","2.53","股票"
"2886","兆豐金","2.46","股票"
"2376","技嘉","2.45","股票"
"2404","漢唐","2.19","股票"
