"code","Name","Weight","Type"
"202109TX","臺股期貨","3.47","期貨"
"2883","開發金","3.23","股票"
"3037","欣興","3.11","股票"
"2345","智邦","2.52","股票"
"2890","永豐金","2.45","股票"
"3481","群創","2.39","股票"
"2474","可成","2.15","股票"
"2301","光寶科","2.12","股票"
"2888","新光金","1.96","股票"
"1476","儒鴻","1.83","股票"
"8454","富邦媒","1.76","股票"
"9921","巨大","1.63","股票"
"2324","仁寶","1.53","股票"
"2377","微星","1.47","股票"
"2492","華新科","1.45","股票"
"2049","上銀","1.43","股票"
"2344","華邦電","1.43","股票"
"9904","寶成","1.42","股票"
"1605","華新","1.38","股票"
"6669","緯穎","1.31","股票"
"6239","力成","1.28","股票"
"3231","緯創","1.26","股票"
"9914","美利達","1.25","股票"
"9945","潤泰新","1.24","股票"
"2356","英業達","1.21","股票"
"2354","鴻準","1.2","股票"
"2337","旺宏","1.17","股票"
"2347","聯強","1.17","股票"
"3702","大聯大","1.17","股票"
"2353","宏碁","1.16","股票"
"2360","致茂","1.16","股票"
"5269","祥碩","1.13","股票"
"2105","正新","1.11","股票"
"2371","大同","1.1","股票"
"2383","台光電","1.1","股票"
"2027","大成鋼","1.05","股票"
"6409","旭隼","1.05","股票"
"2633","台灣高鐵","1.02","股票"
"1802","台玻","1","股票"
"4958","臻鼎-KY","1","股票"
"2823","中壽","0.98","股票"
"8464","億豐","0.96","股票"
"3044","健鼎","0.94","股票"
"1504","東元","0.91","股票"
"3189","景碩","0.9","股票"
"2449","京元電子","0.83","股票"
"6213","聯茂","0.81","股票"
"1229","聯華","0.8","股票"
"3714","富采","0.8","股票"
"1477","聚陽","0.79","股票"
"2834","臺企銀","0.79","股票"
"2385","群光","0.78","股票"
"1907","永豐餘","0.77","股票"
"2542","興富發","0.75","股票"
"2458","義隆","0.74","股票"
"2313","華通","0.73","股票"
"2637","慧洋-KY","0.73","股票"
"2915","潤泰全","0.73","股票"
"2610","華航","0.72","股票"
"2618","長榮航","0.72","股票"
"2889","國票金","0.72","股票"
"3023","信邦","0.72","股票"
"6176","瑞儀","0.71","股票"
"3661","世芯-KY","0.7","股票"
"2376","技嘉","0.68","股票"
"2809","京城銀","0.68","股票"
"1722","台肥","0.67","股票"
"2352","佳世達","0.66","股票"
"2014","中鴻","0.65","股票"
"2108","南帝","0.65","股票"
"3406","玉晶光","0.65","股票"
"2006","東和鋼鐵","0.64","股票"
"6269","台郡","0.63","股票"
"6531","愛普","0.63","股票"
"6116","彩晶","0.62","股票"
"1717","長興","0.61","股票"
"3443","創意","0.61","股票"
"3533","嘉澤","0.59","股票"
"1210","大成","0.58","股票"
"2812","台中銀","0.57","股票"
"1904","正隆","0.56","股票"
"1434","福懋","0.52","股票"
"2404","漢唐","0.5","股票"
"2606","裕民","0.5","股票"
"9941","裕融","0.49","股票"
"9917","中保科","0.46","股票"
"1440","南紡","0.44","股票"
"3653","健策","0.44","股票"
"2441","超豐","0.42","股票"
"3576","聯合再生","0.41","股票"
"3706","神達","0.41","股票"
"1227","佳格","0.38","股票"
"2059","川湖","0.38","股票"
"2845","遠東銀","0.38","股票"
"6456","GIS-KY","0.36","股票"
"2201","裕隆","0.34","股票"
"5522","遠雄","0.3","股票"
"6781","AES-KY","0.29","股票"
"6592","和潤企業","0.23","股票"
"3532","台勝科","0.19","股票"
"2227","裕日車","0.08","股票"
