"name","description","href","star","lang"
"oscarnevarezleal/ecommerce-crawler","Parallel ecommerce crawler using Docker and Puppeter on GCP","https://github.com/oscarnevarezleal/ecommerce-crawler","4","JavaScript"
"restuwahyu13/node-scraper-content","example node scraper all content programming using puppeteer","https://github.com/restuwahyu13/node-scraper-content","3","JavaScript"
"six-face/instagram-crawler","Node.js/puppetter","https://github.com/six-face/instagram-crawler","","JavaScript"
"joserafael97/auditor-crawler","Este projeto tem como objetivo avaliar o desempenho de técnicas do estado da arte para Web Crawler e extração de cont…","https://github.com/joserafael97/auditor-crawler","1","JavaScript"
"dupingwei/puppetter_crawler","puppetter 爬虫测试文件","https://github.com/dupingwei/puppetter_crawler","","JavaScript"
"minasvisual/cloud-functions-crawler-micro-framework","cloud functions crawler micro-framework based in node and puppetter","https://github.com/minasvisual/cloud-functions-crawler-micro-framework","1","JavaScript"
"silentxnl/webmailer","base on puppeteer manipulate headless browser to send mail webmail, and extends to an general purpose of crawler and p…","https://github.com/silentxnl/webmailer","","JavaScript"
