"Title","URL","Author"
"台北南門教會 11/22主日第一場華語禮拜","https://www.youtube.com/watch?v=xfG_YpKaaic","台灣基督長老教會台北南門教會"
"台北南門教會 11/8主日第一場華語禮拜","https://www.youtube.com/watch?v=GWoqiEJEgQU","台灣基督長老教會台北南門教會"
"20210530  主日台語禮拜","https://www.youtube.com/watch?v=vWktfok97m0","台灣基督長老教會台北南門教會"
"台北中會南門教會鍾主亮教育牧師授職感恩禮拜","https://www.youtube.com/watch?v=V9pBU3cknmQ","台灣基督長老教會台北南門教會"
"台北南門教會 12/06主日第一場華語禮拜","https://www.youtube.com/watch?v=VDCV6qcPFfo","台灣基督長老教會台北南門教會"
"台北南門教會 10/25主日第一場華語禮拜","https://www.youtube.com/watch?v=OXM-BrRV0nA","台灣基督長老教會台北南門教會"
"台北南門教會 10/18主日第一場華語禮拜","https://www.youtube.com/watch?v=nCQaHkeliOE","台灣基督長老教會台北南門教會"
"20210711 主日台語禮拜","https://www.youtube.com/watch?v=m4jz8aFbu_k","台灣基督長老教會台北南門教會"
"20210307 主日場華語禮拜","https://www.youtube.com/watch?v=d28pd3V-vBw","台灣基督長老教會台北南門教會"
"台北南門教會 9/13主日第一場華語禮拜","https://www.youtube.com/watch?v=kDtFiMc303U","台灣基督長老教會台北南門教會"
"20210718 主日華語禮拜","https://www.youtube.com/watch?v=P2hD4uOs4GI","台灣基督長老教會台北南門教會"
"20210606  主日台語禮拜","https://www.youtube.com/watch?v=XCdZ_vNqFQ0","台灣基督長老教會台北南門教會"
"台北南門教會 9/6主日第一場華語禮拜","https://www.youtube.com/watch?v=DK6YbN4HgRQ","台灣基督長老教會台北南門教會"
"台北南門教會 9/20主日第一場華語禮拜","https://www.youtube.com/watch?v=gktGhESteWc","台灣基督長老教會台北南門教會"
"台北南門教會 10/04主日第一場華語禮拜","https://www.youtube.com/watch?v=1GBStalgn7g","台灣基督長老教會台北南門教會"
"台北南門教會雅音合唱團 2019 榮耀歸主名 4月28日","https://www.youtube.com/watch?v=Rm1EUH-KRVU","JK Tai"
"台北南門教會 8/9主日第一場華語禮拜","https://www.youtube.com/watch?v=KMuWtu5rVFU","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2019 願主出聲 3月17日","https://www.youtube.com/watch?v=w1dRfIbEqNw","JK Tai"
"2013台北南門教會復活節禮拜聖歌隊獻詩(上)","https://www.youtube.com/watch?v=oEGsMoOOh_Y","DennisHuang"
"台北南門教會 10/11主日第一場華語禮拜","https://www.youtube.com/watch?v=VRDa0UNs0as","台灣基督長老教會台北南門教會"
"190724採訪台北南門教會薛伯讚牧師","https://www.youtube.com/watch?v=t4G9PTYJsc8","TPEKKC"
"台北南門教會雅音合唱團 2019 萬物讚美歌唱 1月26日","https://www.youtube.com/watch?v=00rY-Yr7QUE","JK Tai"
"台北南門教會 7/12主日第二場台語禮拜","https://www.youtube.com/watch?v=MyTOsq9o838","台灣基督長老教會台北南門教會"
"台北南門教會 6/21主日第一場華語禮拜","https://www.youtube.com/watch?v=cV8OhXDY2_A","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2017 先求祂的國11月19日","https://www.youtube.com/watch?v=nPdtQ3VDRqQ","JK Tai"
"台北南門教會 10/11主日第一場華語禮拜","https://www.youtube.com/watch?v=9mclzBBddoE","台灣基督長老教會台北南門教會"
"台北南門教會 7/12主日第一場華語禮拜","https://www.youtube.com/watch?v=NY29CMcmOEk","台灣基督長老教會台北南門教會"
"20210530  主日華語禮拜","https://www.youtube.com/watch?v=Gg_b_Jsz-AE","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2017 萬物光明極美麗 9月10日","https://www.youtube.com/watch?v=eRIe9C1TiiU","JK Tai"
"台北南門教會聖歌隊2019 疼之王 2月3日","https://www.youtube.com/watch?v=BKyFwcAgSK4","JK Tai"
"台北南門教會聖歌隊 快樂讚美之日子20170416復活節","https://www.youtube.com/watch?v=UheTF4DjqOI","JK Tai"
"20210606 主日華語禮拜","https://www.youtube.com/watch?v=3Ctu0puhkp4","台灣基督長老教會台北南門教會"
"台北南門教會 8/23主日第二場台語禮拜","https://www.youtube.com/watch?v=BVAPsKDNDFQ","台灣基督長老教會台北南門教會"
"台北南門教會 12/27 第一場華語禮拜","https://www.youtube.com/watch?v=WeGQb-EIdPs","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2019 救主耶穌―救主願祢做我牧者 3月3日","https://www.youtube.com/watch?v=vlox5sX_MXQ","JK Tai"
"20210328 主日場華語禮拜","https://www.youtube.com/watch?v=_xi4qTuKO4k","台灣基督長老教會台北南門教會"
"台北南門教會雅音合唱團 2019 祂看顧細隻鳥仔 5月26日","https://www.youtube.com/watch?v=itPdsJykk0k","JK Tai"
"台北南門教會 5/10 母親節讚美禮拜( 1,2場合併)","https://www.youtube.com/watch?v=NFqpV7vSO9Y","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2019 復活節第一段 4月21日","https://www.youtube.com/watch?v=49bF7QTideQ","JK Tai"
"20210411台南南門教會主日禮拜","https://www.youtube.com/watch?v=-a_qXzUYBeM","南門教會"
"台北南門教會 8/2主日第一場華語禮拜","https://www.youtube.com/watch?v=1lTjKpkx_bo","台灣基督長老教會台北南門教會"
