"Title","URL","Time","Author","Type"
"圣经讲解创世纪第14章 Bible Genesis 14","https://www.youtube.com/watch?v=lI50QmVmwq8","839次","讲解圣经","item"
"空中聖經學院~創世記(1)-一:1~8","https://www.youtube.com/watch?v=5FqE64x8a_U","3.9萬次","GOOD TV 好消息電視台","item"
"聖經簡報站：創世記49章(上)","https://www.youtube.com/watch?v=vWxfOAwfWA8","1.2萬次","BiblePoint .net","item"
"創世記12章/陪你讀聖經《在信心中勇敢，讓我們來學亞伯蘭。》","https://www.youtube.com/watch?v=qysLQna01FI","1萬次","JAM愛的影響力","item"
"創世記26章/陪你讀聖經《上帝的愛填滿所有的缺乏》","https://www.youtube.com/watch?v=r6S9oAhZtP8","7064次","JAM愛的影響力","item"
"圣经讲解创世纪第42章 Bible Genesis42","https://www.youtube.com/watch?v=lwSFPiYUcLg","779次","讲解圣经","item"
"圣经讲解创世纪第25章 Bible Genesis25","https://www.youtube.com/watch?v=H6vtY_XKe8c","820次","讲解圣经","item"
"創世記38章/陪你讀聖經《對不起，這是我的錯》","https://www.youtube.com/watch?v=U7vcXzR5g4c","5720次","JAM愛的影響力","item"
"聖經簡報站：創世記12-14章","https://www.youtube.com/watch?v=YwiEv2RZleA","2.1萬次","BiblePoint .net","item"
"創世記34章/陪你讀聖經《恨無法解決問題，愛可以》","https://www.youtube.com/watch?v=i8AeWWO1mts","5761次","JAM愛的影響力","item"
"聖經故事庫：創世記 （一） 聖經與神的創造","https://www.youtube.com/watch?v=SgLe7VVs2a0","2210次","活水庫","item"
"圣经讲解创世纪第23章 Bible Genesis23","https://www.youtube.com/watch?v=h3oEkpO2khM","678次","讲解圣经","item"
"創世記21章/陪你讀聖經《別懷疑！神的應許不會落空》","https://www.youtube.com/watch?v=arp04w3VSlE","7343次","JAM愛的影響力","item"
"圣经讲解创世纪第3章Bible Genesis 03","https://www.youtube.com/watch?v=ToAGqVwOYoQ","2409次","讲解圣经","item"
"圣经讲解创世纪第5章 Bible Genesis 05","https://www.youtube.com/watch?v=L0cnZjaDhIY","1309次","讲解圣经","item"
"創世記35章/陪你讀聖經《不要忘記你是誰，打起精神再出發》","https://www.youtube.com/watch?v=CW-VgNEQfJU","5805次","JAM愛的影響力","item"
"聖經故事動畫01 創世紀   觀看更多教育動畫片請到https://www.patreon.com/wisepod","https://www.youtube.com/watch?v=MpCOJ3q4JrA","5萬次","mangotree ma","item"
"圣经讲解创世纪第20章 Bible Genesis20","https://www.youtube.com/watch?v=pRK3g3s9WYA","574次","讲解圣经","item"
"創世記37章/陪你讀聖經《苦難再苦，都只是祝福的開場舞》","https://www.youtube.com/watch?v=kC_rPhj0RtU","6321次","JAM愛的影響力","item"
"圣经讲解创世纪第6章 Bible Genesis 06","https://www.youtube.com/watch?v=_3plCNS9xd8","1756次","讲解圣经","item"
"聖經簡報站：創世記3章(上)(進階版)","https://www.youtube.com/watch?v=OoZ_p7inayk","1.6萬次","BiblePoint .net","item"
"創世記9章/陪你讀聖經《創造彩虹的上帝 其實很浪漫》","https://www.youtube.com/watch?v=UBAz9lJLaY4","1.1萬次","JAM愛的影響力","item"
"圣经讲解创世纪第35章 Bible Genesis35","https://www.youtube.com/watch?v=OONn8agZXHA","886次","讲解圣经","item"
"圣经讲解创世纪第13章 Bible Genesis 13","https://www.youtube.com/watch?v=DjTQS-Uwxe0","927次","讲解圣经","item"
"聖經簡報站：創世記26-27章","https://www.youtube.com/watch?v=h8n_faeZ-5Q","1.5萬次","BiblePoint .net","item"
"創世記47章/陪你讀聖經《出於愛的管理學，深得人心》","https://www.youtube.com/watch?v=eWrsySsiJ6k","5858次","JAM愛的影響力","item"
"創世記28章/陪你讀聖經《雅各親自經歷上帝，祝福你也是》","https://www.youtube.com/watch?v=EWpEHAlWkag","6448次","JAM愛的影響力","item"
"聖經簡報站：創世記23-24章","https://www.youtube.com/watch?v=ABuM_CyrX8w","1.4萬次","BiblePoint .net","item"
"《创世纪》圣经讲座 第二讲（下）神造人的目的","https://www.youtube.com/watch?v=yWo716x4ohw","1024次","新人 NEWMAN","item"
"創世記30章/陪你讀聖經《你就是個寶，祝福人人好》","https://www.youtube.com/watch?v=ttQDF5fkbSg","6326次","JAM愛的影響力","item"
"圣经讲解创世纪第40章 Bible Genesis40","https://www.youtube.com/watch?v=KVwOXSe9VNM","509次","讲解圣经","item"
"圣经讲解创世纪第39章 Bible Genesis39","https://www.youtube.com/watch?v=UXfeV-dFHZA","777次","讲解圣经","item"
"圣经讲解创世纪第28章 Bible Genesis28","https://www.youtube.com/watch?v=oktzdPJOBt8","1061次","讲解圣经","item"
"華語舊約聖經 創世紀     第 3 章 現代中文譯本2019版","https://www.youtube.com/watch?v=cqZxcgsUwuQ","20次","蘇俊雄","item"
"圣经讲解创世纪第11章 Bible Genesis 11","https://www.youtube.com/watch?v=9RVgj91vKFY","1156次","讲解圣经","item"
"1.《创世纪》 旧约圣经速读（92分钟读完） 圣经朗读 ⭐ -  32小时读完全本圣经 #速θ读","https://www.youtube.com/watch?v=jeFQlwM98l0","2024次","生命建造 †","item"
"聖經簡報站：創世記18-19章","https://www.youtube.com/watch?v=D6BAh3yZhD4","1.7萬次","BiblePoint .net","item"
"聖經簡報站：創世記4章(下)-6章(進階版)","https://www.youtube.com/watch?v=sTkiuy66Dsc","1.5萬次","BiblePoint .net","item"
"圣经讲解创世纪第24章 Bible Genesis24","https://www.youtube.com/watch?v=gRLMmeYyK0w","977次","讲解圣经","item"
